phonetician,gender,vowel,f0,f1,f2,f3
Peter Ladefoged 2,m,3,90.4283364053292,598.470535062611,1654.50353956739,2300
Peter Ladefoged 2,m,4,91.265357637038,747.315255788418,1100,2350
Peter Ladefoged 2,m,5,91.0819428238112,588.094648947752,900,2885.65183613207
Peter Ladefoged 2,m,6,92.0610423079,441.346571381135,800,2580
Peter Ladefoged 2,m,7,91.8586899778,347.523638373873,787.816985445311,2300
Peter Ladefoged 2,m,8,94.7317925235,300,600,2323.57138004962
Peter Ladefoged 2,m,9,94.5136156433603,260,1740,2030
Peter Ladefoged 2,m,10,93.0254942042658,429.512123116971,1480,2100
Peter Ladefoged 2,m,11,93.2635991289243,470,1370,2170
Peter Ladefoged 2,m,12,92.417432078466,538.090930831438,1200,2270
Peter Ladefoged 2,m,13,90.4676760998008,538.278149883963,750,2680
Peter Ladefoged 2,m,14,93.6180088456872,558.47759390629,950,2660
Peter Ladefoged 2,m,15,90.5037039411161,440,900,2670
Peter Ladefoged 2,m,16,103.745807163106,375,1190,2250
Peter Ladefoged 2,m,17,112.545500862084,337.566681092858,1720,2120
Peter Ladefoged 2,m,19,105.073584509319,320.540876174475,1931.47612315564,2550
Peter Ladefoged 2,m,20,107.205309142674,371.513891202826,1855.54892447588,2411.90002898792
Peter Ladefoged 2,m,21,100.018534940384,416.701310468198,980,2240
Peter Ladefoged 2,m,22,94.3307937344797,438.985717374513,1530,2400
Peter Ladefoged 2,m,23,94.4097112332992,374.899405866451,1400,2040
Peter Ladefoged 2,m,24,96.1504104184455,508.075143170778,1230,2470
Peter Ladefoged 2,m,25,101.398368141305,455.777985377054,1290,2360
Peter Ladefoged 2,m,26,99.2005508037009,424.903682267542,1300,2220
Peter Ladefoged 2,m,27,87.8684183899397,630,1620,2380
Peter Ladefoged 2,m,28,95.0667010642609,600,1150,2600
Bruce Hayes,m,1,148.503750671257,287.000880797121,2375.92933620133,3266.03751305778
Bruce Hayes,m,2,141.291743371821,439.237754745848,2130,2680
Bruce Hayes,m,3,140.487323514333,607.315332268098,1830,2410
Bruce Hayes,m,4,137.221638407992,861.359640634532,1400,2200
Bruce Hayes,m,5,132.665628281524,770.742369785334,1101.52076830227,2120
Bruce Hayes,m,6,141.1626978553,581.2390563881,883.245805447,2190
Bruce Hayes,m,7,145.1863001583,427.4635266891,788.918654678,2070
Bruce Hayes,m,8,152.2531337772,300.6996262171,750.6964273968,2300
Bruce Hayes,m,9,149.985164155393,300,2000,2400
Bruce Hayes,m,10,144.74464422519,445.254298615121,1700,2032.18402530714
Bruce Hayes,m,11,142.443343167632,557.780177892095,1587.60584567064,2048.55785752143
Bruce Hayes,m,12,141.655619038282,577.213407408373,1491.38567173952,1931.71649812251
Bruce Hayes,m,13,139.194636457141,643.842864815759,865.02462870798,2007.51847577518
Bruce Hayes,m,14,143.067038730184,709.372532948994,1305.04491935082,2392.51703697562
Bruce Hayes,m,15,152.241213283825,601.59398698241,1650,2580.92286444134
Bruce Hayes,m,16,167.715901073821,367.946038551093,1760,2690
Bruce Hayes,m,17,141.59038873833,372.71460850035,2000,2468.75378946086
Bruce Hayes,m,18,151.009549278736,326.504695378428,1503.3104633214,2261.73234098111
Bruce Hayes,m,19,144.930904597506,367.675448965932,2209.41519861672,2796.53572395495
Bruce Hayes,m,20,147.183769400062,384.423007935115,1860,2167.61529934042
Bruce Hayes,m,21,148.458655563457,346.227158483238,904.079132001425,2290
Bruce Hayes,m,22,141.055291253666,417.247450184839,1945,2376.84362361064
Bruce Hayes,m,23,146.558254629305,498.539611760877,1580,2170
Bruce Hayes,m,25,140.238138285794,560.39937736152,1675,2450
Bruce Hayes,m,26,141.664852879324,600,1420,2130
Bruce Hayes,m,27,130.565126228791,727.211800549323,1756.30865887054,2550
Bruce Hayes,m,28,132.506999397183,680,1450,2300
Jill House,f,1,188.05587622807,314.975597295447,2680,3803.26176683892
Jill House,f,2,199.059077184373,401.123886829581,2601.38960623904,3038.70257081066
Jill House,f,3,183.23691273456,895.037547507657,2190,2600
Jill House,f,4,182.203177894633,1196.75256517259,1599.10557840717,3000
Jill House,f,5,180.233247610484,700.79128220737,950.963968198963,3054.17601725994
Jill House,f,6,195.1153992367,599.3158584298,893.8495058104,2900
Jill House,f,7,162.3971614768,347.6741308007,800,3043.7949798901
Jill House,f,8,210.9416160228,280,618.6094757223,2300
Jill House,f,9,205.574057440244,364.851541968146,2163.39541253751,2794.19935553989
Jill House,f,10,190.974025562239,368.112249069283,1892.14375256858,2800
Jill House,f,11,183.720180514818,728.366634383144,1403.8937600984,2730
Jill House,f,12,185.299726805068,737.525113019834,1378.70097331517,2650
Jill House,f,13,188.455459951837,630,875,3000
Jill House,f,14,175.807946540261,851.461410932347,1258.11814564633,2950
Jill House,f,15,198.811118287325,415.000393053981,1300,2911.41806633443
Jill House,f,16,189.611999939025,371.739701357771,1469.95684147015,2970
Jill House,f,17,194.39841596733,371.933828276909,2035.80430693376,3090
Jill House,f,18,197.89460846104,378.302700548117,2125,2850
Jill House,f,19,190.249519656511,423.271403089678,2600,3120
Jill House,f,20,208.204773588417,407.556752511881,2030,2680
Jill House,f,21,192.517321964764,414.990389804829,769.177020975961,2900
Jill House,f,22,184.599460998942,380.060299138381,1670,2940.52942197566
Jill House,f,23,173.293246388527,373.271136806194,1700,2999.59284678653
Jill House,f,24,190.157205756897,636.93899093334,1492.39571946533,2910
Jill House,f,25,158.782631711606,783.35740056687,1260,3341.32804913658
Jill House,f,26,173.119175454688,720,1240,2900
Jill House,f,27,178.783907296884,1136.20475858117,1679.97515219432,3085.49452316387
Jill House,f,28,184.530544101474,758.343472091081,1278.44248274313,2950
Jurgen Handke,m,1,186.325167063357,303.518652541734,2771.19250834182,3283.02733716046
Jurgen Handke,m,2,179.455482334246,363.013076238039,2900,3200
Jurgen Handke,m,3,173.343492705834,595.836721694457,2241.51180032532,2970
Jurgen Handke,m,4,168.927575180014,750,1800,2200
Jurgen Handke,m,5,167.250105367376,575.154412659384,915.792184471639,3070
Jurgen Handke,m,6,165.5650034841,481.0562622196,673.0548250383,2900
Jurgen Handke,m,7,170.3559964051,338.896155051,599.7378279295,2885.2435700832
Jurgen Handke,m,8,174.5285519641,200,500,2100
Jurgen Handke,m,9,193.131858009754,347.032395210876,1800,2200
Jurgen Handke,m,10,144.1748008249,351.854139145643,1650,2569.20312011889
Jurgen Handke,m,11,148.769968815804,614.32370921278,1354.64083218652,2390
Jurgen Handke,m,12,122.59753359705,711.674242063431,1494.05639823303,2450
Jurgen Handke,m,13,131.407736202262,572.092866474494,815.394120033624,2974.29314962216
Jurgen Handke,m,14,169.795113557467,538.761470684136,1006.91932075268,2900
Jurgen Handke,m,15,181.783278873087,395.696864576929,950,2850
Jurgen Handke,m,16,169.114909304375,356.126252235355,1370,2480
Jurgen Handke,m,17,224.884283519023,430,1620,2200
Jurgen Handke,m,24,198.200051435231,638.087326913637,1260,2530.7079833043
Jurgen Handke,m,25,220.351878180985,676.155563014511,1370,2600
Jurgen Handke,m,28,154.289528815601,784.960107178866,1127.40358982917,2681.39544808447
Alvin Leong,m,1,133.064199484673,269.775202235634,2500,3100
Alvin Leong,m,2,133.854604665998,391.80498712286,2120.10331914008,2630
Alvin Leong,m,3,129.083537190149,618.616867931349,1800.64673906282,2720
Alvin Leong,m,4,128.200669884843,914.084799034353,1564.92677981399,2700
Alvin Leong,m,5,125.598899537272,700,898.223036644759,3000
Alvin Leong,m,6,127.60034177484,512.985002316938,743.926469896989,2850
Alvin Leong,m,7,126.588176942593,379.506877944892,758.474497657361,2390
Alvin Leong,m,9,132.376747607044,263.144916250863,1911.81909589612,2151.3871482516
Alvin Leong,m,10,131.006338222974,370.304234193238,1841.15792643354,2510
Alvin Leong,m,11,131.97112307858,524.684515067448,1691.14360547306,2550
Alvin Leong,m,12,128.18041784636,902.653736922363,1434.44409786963,2604.49989545383
Alvin Leong,m,13,104.329732889808,650,850,2850
Alvin Leong,m,14,105.015675130825,623.26702714959,889.451503806647,2800
Alvin Leong,m,15,122.759143189855,385.861501994696,947.268340830771,2520
Alvin Leong,m,16,128.568410589076,320,992.566041456622,2600
Australianlinguistics,m,1,170.754253468526,320,2500,3500
Australianlinguistics,m,2,163.000930118608,447.24235290254,2056.37871972938,2700
Australianlinguistics,m,3,101.266738714847,493.325225088995,1798.19603629234,2460
Australianlinguistics,m,4,142.193839558709,720.282115637648,1600,2550
Australianlinguistics,m,5,132.215694427252,545.404092030869,827.378281272681,2888.3647815782
Australianlinguistics,m,6,118.180380692751,407.577142961611,698.537458227362,2790
Australianlinguistics,m,7,152.608456192993,391.100824692338,625.063913830145,2780
Australianlinguistics,m,8,175.059786099281,300,550,2620
Australianlinguistics,m,9,163.123067565033,307.627006984351,1520,2430
Australianlinguistics,m,11,118.860906893423,400.949570420057,1686.60423908218,2453.07257644213
Australianlinguistics,m,16,143.018527027061,298.3100792955,979.489096073577,2676.57795201842
Lukasz Stolarski,m,1,182.368840297264,313.867518240641,2205.51802388424,3185.38456833385
Lukasz Stolarski,m,2,152.763849491126,452.753416611921,2157.7630515455,2953.49771321876
Lukasz Stolarski,m,3,153.550832067727,594.672650735094,1585.67001905644,2855.12847956563
Lukasz Stolarski,m,4,141.588009514661,670,1400,2400
Lukasz Stolarski,m,5,128.708454869441,730,1000,2350
Lukasz Stolarski,m,6,138.331964119365,550,936.806696424432,2811.74455644291
Lukasz Stolarski,m,7,140.633757789861,420,780,2520
Lukasz Stolarski,m,8,178.052649870696,300,650,2330
Lukasz Stolarski,m,9,187.055544743846,294.953741450417,1661.56131490745,2180
Lukasz Stolarski,m,10,181.871777693747,347.10551747582,1800,2270
Lukasz Stolarski,m,11,172.410316045684,513.444683629439,1502.73087170579,2200
Lukasz Stolarski,m,12,182.516996652471,513.473214715142,1258.3231293701,2550
Lukasz Stolarski,m,13,155.37776057435,507.472019125925,864.393372163447,2970
Lukasz Stolarski,m,14,168.588082938062,650,1350,2989.229716083
Lukasz Stolarski,m,15,162.986866840784,494.557940150267,1350,2590
Lukasz Stolarski,m,16,196.647616697667,379.644281312031,1373.1716788148,2420
Lukasz Stolarski,m,17,183.503799680075,357.727522940435,1450,2400
Lukasz Stolarski,m,18,182.191992560258,341.707361273936,1615.82305853727,2178.50675374476
Lukasz Stolarski,m,19,160.567729199213,377.891857839375,2050.47005047132,2430
